method,window,accuracy,accuracy_sem,itr,itr_sem,block_sd,subjects,samples,seconds
CCA,0.25,0.0423214285714285,0.0029504059045288,1.986765364874963,0.3690162727584993,0.0274146053566733,70,11200,16.8514495001873
CCA,0.5,0.1423214285714285,0.0111927542172761,15.63596033635738,2.1237337671068164,0.048616521405401,70,11200,16.46090460018604
CCA,0.75,0.279642857142857,0.0209399519647846,37.76791978608474,4.188774038885539,0.0611645665393815,70,11200,17.690409899922088
CCA,1.0,0.3991964285714286,0.0269124610804984,54.13790996943056,5.187291130946744,0.0656405775386414,70,11200,19.097649899907992
FBCCA,0.25,0.06375,0.0042725924897948,4.496619331008056,0.6712671475323523,0.0337753972660105,70,11200,83.14584320005088
FBCCA,0.5,0.2286607142857143,0.0158953031883686,33.55743990268171,3.640572822213543,0.0602296047136197,70,11200,81.72057679988211
FBCCA,0.75,0.4159821428571429,0.0235004583021191,67.01088589028491,5.481048109190435,0.075719205764243,70,11200,87.9359100998845
FBCCA,1.0,0.5585714285714287,0.0264774881639767,86.8014048045148,5.801802144237547,0.0724516609456809,70,11200,95.39035619984496
TRCA,0.25,0.29125,0.0203669589678563,65.63228851496336,6.799842348996445,0.050712784128612,70,11200,3.888603000057629
TRCA,0.5,0.4649107142857142,0.0268141261497131,99.87369422716634,7.984051338897203,0.0530047389361763,70,11200,4.488411400088808
TRCA,0.75,0.5822321428571428,0.0289599956646794,111.80761197294068,7.646493261535061,0.0491594249520788,70,11200,5.15907719983079
TRCA,1.0,0.6388392857142857,0.0286407854644664,106.77116192802345,6.615603248673724,0.052215377892348,70,11200,5.880250600079307
ETRCA,0.25,0.4716964285714286,0.0271669322407238,136.52491267720237,10.9302503141435,0.063081271551168,70,11200,10.48072389997833
ETRCA,0.5,0.6272321428571429,0.0276509349939764,154.98123068238166,9.40294285569002,0.056474018266776,70,11200,121.00068099994678
ETRCA,0.75,0.7167857142857144,0.0263010763491745,151.10652534323728,7.734879593696487,0.0514504860937134,70,11200,208.1323913001106
ETRCA,1.0,0.7646428571428571,0.0248305221139854,138.90254668346833,6.348178268803278,0.0530118890619709,70,11200,280.4600332000846
TDCA,0.25,0.47875,0.0276159212150322,139.71978493709227,11.105023526951054,0.058482640291031,70,11200,44.72400350001408
TDCA,0.5,0.6670535714285714,0.0263518805203347,169.04952886597525,9.23956834452214,0.0545184937551778,70,11200,60.43418020001264
TDCA,0.75,0.7624107142857143,0.023039207308153,164.63738216620976,7.005500428453909,0.0538979231997195,70,11200,76.73303619999206
TDCA,1.0,0.8096428571428573,0.0201350439305353,150.03683336541675,5.393149828262144,0.0525702556119837,70,11200,92.66347829993174
