method,window,accuracy,accuracy_sem,itr,itr_sem,block_sd,subjects,samples,seconds
CCA,0.2,0.0319642857142857,0.00163635177936,1.0074611977183685,0.1162089564620546,0.0248500646869847,70,11200,16.027746299972918
CCA,0.4,0.0992857142857143,0.0077544221767249,9.118458091034498,1.3069551588334791,0.0374934305271473,70,11200,17.425460799931884
CCA,0.6,0.1995535714285714,0.0151015162923661,24.854725023237556,3.0397026745605373,0.0570372252671554,70,11200,19.114170600041675
CCA,0.8,0.3023214285714284,0.0224585436709808,41.06394910016249,4.458386962793849,0.0625275729070747,70,11200,22.10354720004397
CCA,1.0,0.3991964285714286,0.0269124610804984,54.13790996943056,5.187291130946744,0.0656405775386414,70,11200,26.308781699975956
CCA,1.2,0.485625,0.0299367837012385,64.06767102818556,5.475029419948347,0.0652779835984845,70,11200,27.26546060002147
CCA,1.4,0.553125,0.031065383758521,69.43843566039916,5.375778792626561,0.0690058767518702,70,11200,26.77438360006636
CCA,1.6,0.6074107142857141,0.030885894585735,71.94070863977029,5.115405947682936,0.0679312271491893,70,11200,28.52537920000032
CCA,1.8,0.6555357142857143,0.0298009112916447,73.1681583103131,4.676779501054193,0.0683443741319231,70,11200,29.02567689992429
CCA,2.0,0.6856249999999999,0.0289587987957289,71.73164760236965,4.261225999751807,0.0652651026458877,70,11200,30.57519689996116
FBCCA,0.2,0.0449107142857142,0.0023495519358005,2.2915745840623454,0.2619351237275222,0.031734099120596,70,11200,79.8150244999706
FBCCA,0.4,0.1505357142857142,0.0103773140123356,18.409124395885208,2.2189880728208173,0.0508813139449026,70,11200,85.49152289995982
FBCCA,0.6,0.3036607142857143,0.0196083270986464,47.265832218471154,4.646907464879274,0.0635824173630044,70,11200,94.27335389998916
FBCCA,0.8,0.447142857142857,0.024575420826191,71.87771074587639,5.612927192392729,0.0744356295311364,70,11200,111.4778068999949
FBCCA,1.0,0.5730357142857142,0.0266844964748214,90.27498521307136,5.949326058860017,0.0741610385520335,70,11200,128.93736430004355
FBCCA,1.2,0.6664285714285714,0.0266431332863869,99.83140690933706,5.645654041194744,0.0731064316361272,70,11200,135.4067720999883
FBCCA,1.4,0.7258035714285715,0.0252443164856071,101.42395249806415,5.028213096051808,0.0711149367424766,70,11200,133.36012269995263
FBCCA,1.6,0.7718749999999999,0.0229330416275714,100.36073783540736,4.3072420093713815,0.0672452576642099,70,11200,140.26491879995592
FBCCA,1.8,0.8080357142857144,0.0212533271574536,98.24109374413403,3.769695965954902,0.063485657463163,70,11200,143.29321200012055
FBCCA,2.0,0.8330357142857143,0.0194965021055261,94.55260078195454,3.228966997007784,0.0624038014680223,70,11200,149.921858000067
TRCA,0.2,0.2394642857142857,0.0160558067623432,50.70285565792978,5.1850756127896265,0.0506248593742572,70,11200,3.713972700104919
TRCA,0.4,0.4163392857142858,0.0252809308919349,94.16276053629385,7.977183470355743,0.0570546117497412,70,11200,4.554777999968779
TRCA,0.6,0.5146428571428571,0.0281976963966262,105.97243065740057,7.925467313496587,0.0581587790897747,70,11200,5.473108199861587
TRCA,0.8,0.5954464285714286,0.0293456836411399,111.41420404911564,7.545465308940718,0.051379875486994,70,11200,6.161955199939245
TRCA,1.0,0.6487499999999999,0.0284773051733812,109.16906288467035,6.649905535987085,0.0493206160074481,70,11200,7.316656200055149
TRCA,1.2,0.6863392857142858,0.0277479449352425,104.5748885414498,5.894095356132381,0.0468004636761619,70,11200,8.028560500089952
TRCA,1.4,0.7081249999999999,0.0265982245151861,97.68350927521612,5.1671567179690605,0.0431048686817931,70,11200,8.335681100019428
TRCA,1.6,0.7411607142857143,0.0248606666080277,94.3099444908214,4.484748691158682,0.0469354966521929,70,11200,8.693588799927966
TRCA,1.8,0.7570535714285715,0.0251010256346305,89.14564748309105,4.143470177613253,0.0439871230623269,70,11200,9.395782799889275
TRCA,2.0,0.7759821428571426,0.024270088540414,85.06149562950775,3.752200065574939,0.0418450501487508,70,11200,10.195590299961625
ETRCA,0.2,0.4077678571428571,0.0248892590359352,117.22352703835274,9.938837353254106,0.0592718199484003,70,11200,8.735474499932012
ETRCA,0.4,0.5817857142857142,0.0286497777325242,154.87603314758232,10.446531883516071,0.0567182097100604,70,11200,85.94583649991546
ETRCA,0.6,0.6663392857142858,0.0274976156672521,154.25736359287518,8.763517331748359,0.0542840839234309,70,11200,144.38180460005242
ETRCA,0.8,0.728125,0.0262081119747602,148.9576608713209,7.472413970910895,0.0531294113586979,70,11200,202.06065250006213
ETRCA,1.0,0.7687499999999999,0.0241271675133099,139.7667252611183,6.210185188934087,0.0544029140125698,70,11200,258.2972886999487
ETRCA,1.2,0.7991071428571428,0.0221788406447555,130.51063632999345,5.214375449240484,0.0538886967395203,70,11200,311.63335309998365
ETRCA,1.4,0.815,0.0211638125510911,120.1785223267015,4.503135613866223,0.0501942355004251,70,11200,373.9930132001027
ETRCA,1.6,0.8323214285714285,0.0199483236003223,112.19622195771814,3.895472091075973,0.0487342444715691,70,11200,431.4497385000868
ETRCA,1.8,0.8479464285714285,0.0187131804758343,105.39112364038064,3.414286435315088,0.0474108198683071,70,11200,499.6391999999614
ETRCA,2.0,0.860625,0.0171398678865903,99.04999257897482,2.950294527405659,0.0475032645489225,70,11200,557.0179944000411
TDCA,0.2,0.4076785714285714,0.0253221261150187,117.4622894441305,10.15505793817673,0.0546851143416056,70,11200,40.76599929999792
TDCA,0.4,0.6134821428571428,0.0280691260369092,166.9920934009331,10.444258511244543,0.0544416922056589,70,11200,73.9864290999758
TDCA,0.6,0.7123214285714285,0.0250920186136362,169.2337745166473,8.274198412862091,0.0568067536723976,70,11200,124.51674969994929
TDCA,0.8,0.7730357142857142,0.0227168292096505,161.67463675364934,6.680413838341245,0.0542283037014863,70,11200,485.3198147000294
TDCA,1.0,0.8124107142857143,0.0198004133134616,150.69345603935096,5.339255833785275,0.0507186551044735,70,11200,113.57810410003732
TDCA,1.2,0.8399107142857142,0.0178136147798445,139.8466888586353,4.375951503237055,0.0490715400492485,70,11200,129.42002640002465
TDCA,1.4,0.8567857142857142,0.0161838431029405,128.88510558709353,3.664541557808279,0.0459588201044924,70,11200,137.77664910004387
TDCA,1.6,0.8697321428571427,0.014820590568492,119.27765664246802,3.1126092472102496,0.0437958957982753,70,11200,154.623717200011
TDCA,1.8,0.8814285714285713,0.0134985306527817,111.16671985896194,2.649024166086594,0.0432003292826015,70,11200,180.84997570003907
TDCA,2.0,0.8887499999999999,0.0125829288460074,103.57662729581328,2.314398986240648,0.0413760232443849,70,11200,200.73070269997697
