dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI16,BPRCA,0.2,S01,16,96,0.625,4.0,1.5804820237218404,2.8994176269152776,True,2.6768956220189652,135.46988774758634,248.5215108784524,229.44819617305419
JBHI16,BPRCA,0.2,S02,16,96,0.6354166666666666,4.0,1.6291907528008407,3.1783977042097544,True,2.891433495962811,139.6449216686435,272.4340889322647,247.8371567968124
JBHI16,BPRCA,0.2,S03,16,96,0.21875,4.0,0.18986325964244966,2.0639429361024093,True,1.7379104145504591,16.273993683638544,176.90939452306367,148.9637498186108
JBHI16,BPRCA,0.2,S04,16,96,0.3333333333333333,4.0,0.477110435539831,2.3968197013363577,True,1.8852490699696656,40.895180189128375,205.44168868597353,161.59277742597135
JBHI16,BPRCA,0.2,S05,16,96,0.3645833333333333,4.0,0.5710745498235337,2.484006293789484,True,2.1387162112395925,48.94924712773146,212.91482518195576,183.3185323919651
JBHI16,BPRCA,0.2,S06,16,96,0.53125,4.0,1.1714646344142428,2.6121758194246607,True,2.305728837668361,100.41125437836368,223.9007845221138,197.63390037157382
JBHI16,BPRCA,0.2,S07,16,96,0.16666666666666666,4.0,0.09423541534454705,2.0628804509409973,True,1.7270947228596665,8.077321315246891,176.8183243663712,148.03669053082857
JBHI16,BPRCA,0.2,S08,16,96,0.3541666666666667,4.0,0.5390655296826945,2.31024866313415,True,2.0256348343367154,46.20561682994525,198.02131398292715,173.62584294314706
JBHI16,BPRCA,0.2,S09,16,96,0.5,4.0,1.0465547021957406,2.686575268176606,True,2.403603648192299,89.70468875963492,230.2778801294234,206.0231698450542
JBHI16,BPRCA,0.2,S10,16,96,0.4895833333333333,4.0,1.0061710326713098,2.671059610820498,True,2.240116662930012,86.24323137182657,228.94796664175698,192.00999967971535
JBHI16,BPRCA,0.2,S11,16,96,0.5,4.0,1.0465547021957406,2.6812010681211866,True,2.4163330743540934,89.70468875963492,229.81723441038744,207.11426351606517
JBHI16,BPRCA,0.2,S12,16,96,0.40625,4.0,0.7057943054593894,2.259625590137002,True,2.0171846865173526,60.49665475366195,193.68219344031448,172.90154455863023
JBHI16,BPRCA,0.2,S13,16,96,0.5104166666666666,4.0,1.0875645867464874,2.6104684726245795,True,2.2918976006384097,93.2198217211275,223.75444051067825,196.44836576900656
JBHI16,BPRCA,0.4,S01,16,96,0.7395833333333334,4.0,2.155206096559964,3.244566755689308,True,3.035914088332172,143.68040643733096,216.3044503792872,202.39427255547812
JBHI16,BPRCA,0.4,S02,16,96,0.7395833333333334,4.0,2.155206096559964,3.2797409689210304,True,3.140140086623245,143.68040643733096,218.6493979280687,209.3426724415497
JBHI16,BPRCA,0.4,S03,16,96,0.25,4.0,0.2585539288344778,1.916031852482571,True,1.8057129030592516,17.23692858896519,127.73545683217141,120.38086020395012
JBHI16,BPRCA,0.4,S04,16,96,0.53125,4.0,1.1714646344142428,2.8739993068316205,True,2.466299027292947,78.09764229428285,191.5999537887747,164.41993515286313
JBHI16,BPRCA,0.4,S05,16,96,0.4791666666666667,4.0,0.9664138501843951,2.5360011067592225,True,2.3221834502934176,64.42759001229301,169.06674045061484,154.81223001956118
JBHI16,BPRCA,0.4,S06,16,96,0.6666666666666666,4.0,1.7794073007426707,3.160529766849167,True,2.8137145277520466,118.62715338284472,210.70198445661117,187.58096851680313
JBHI16,BPRCA,0.4,S07,16,96,0.28125,4.0,0.334773946978006,2.256831051620288,True,1.8153603041261919,22.318263131867067,150.45540344135256,121.02402027507947
JBHI16,BPRCA,0.4,S08,16,96,0.5520833333333334,4.0,1.2578799256629427,2.8541050080771444,True,2.6111366128661064,83.85866171086285,190.27366720514297,174.07577419107378
JBHI16,BPRCA,0.4,S09,16,96,0.7083333333333334,4.0,1.989625773712151,3.0989372677195695,True,2.923186523040404,132.64171824747675,206.59581784797132,194.87910153602695
JBHI16,BPRCA,0.4,S10,16,96,0.65625,4.0,1.7286442853647042,3.1357814088461717,True,2.6604839602482464,115.24295235764696,209.05209392307813,177.3655973498831
JBHI16,BPRCA,0.4,S11,16,96,0.78125,4.0,2.3874892196722413,3.3552369084423646,True,3.214286449492649,159.16594797814943,223.68246056282433,214.28576329950994
JBHI16,BPRCA,0.4,S12,16,96,0.5416666666666666,4.0,1.2143569821601257,2.739931544029208,True,2.495797261304849,80.95713214400838,182.66210293528053,166.38648408698995
JBHI16,BPRCA,0.4,S13,16,96,0.7083333333333334,4.0,1.989625773712151,3.2735132053886744,True,3.0527531565672135,132.64171824747675,218.23421369257832,203.51687710448093
JBHI16,BPRCA,0.6,S01,16,96,0.8333333333333334,4.0,2.698829145750226,3.441379214849268,True,3.359246313668624,147.20886249546686,187.71159353723277,183.23161710919766
JBHI16,BPRCA,0.6,S02,16,96,0.8333333333333334,4.0,2.698829145750226,3.485070067359447,True,3.388545729430431,147.20886249546686,190.09473094687888,184.82976705984166
JBHI16,BPRCA,0.6,S03,16,96,0.3854166666666667,4.0,0.6371121794842316,2.611210331521329,True,2.138945673488566,34.75157342641263,142.42965444661792,116.66976400846721
JBHI16,BPRCA,0.6,S04,16,96,0.6041666666666666,4.0,1.485061463811466,2.884557719298652,True,2.6047207585458363,81.0033525715345,157.33951196174462,142.0756777388638
JBHI16,BPRCA,0.6,S05,16,96,0.5104166666666666,4.0,1.0875645867464874,2.48413784148452,True,2.283273684736026,59.321704731626575,135.49842771733742,124.5422009856014
JBHI16,BPRCA,0.6,S06,16,96,0.6979166666666666,4.0,1.9359708049738782,3.1484447408191154,True,2.860431659439759,105.59840754402971,171.73334949922446,156.02354506035047
JBHI16,BPRCA,0.6,S07,16,96,0.375,4.0,0.6037593748197114,2.4708433968192995,True,2.061759115840471,32.93232953562062,134.7732761901436,112.45958813675294
JBHI16,BPRCA,0.6,S08,16,96,0.6354166666666666,4.0,1.6291907528008407,2.9620255502585655,True,2.692724727459448,88.86495015277312,161.56503001410357,146.8758942250608
JBHI16,BPRCA,0.6,S09,16,96,0.78125,4.0,2.3874892196722413,3.3367179382476406,True,3.1916702471114182,130.22668470939496,182.00279663168948,174.0911043878955
JBHI16,BPRCA,0.6,S10,16,96,0.7395833333333334,4.0,2.155206096559964,3.342687835344922,True,3.0994257707014556,117.55669617599804,182.32842738245026,169.05958749280666
JBHI16,BPRCA,0.6,S11,16,96,0.7604166666666666,4.0,2.2696274377013084,3.263281753411084,True,3.0607565008347324,123.79786023825316,177.99718654969547,166.9503545909854
JBHI16,BPRCA,0.6,S12,16,96,0.5416666666666666,4.0,1.2143569821601257,2.7409662830537083,True,2.4989433057218644,66.23765357237049,149.50725180292952,136.30599849391987
JBHI16,BPRCA,0.6,S13,16,96,0.6979166666666666,4.0,1.9359708049738782,3.2065656064901997,True,3.0160748878654573,105.59840754402971,174.90357853582907,164.5131757017522
JBHI16,BPRCA,0.8,S01,16,96,0.8229166666666666,4.0,2.6345000751319905,3.3973800317813634,True,3.352254651770388,121.59231115993802,156.802155312986,154.7194454663256
JBHI16,BPRCA,0.8,S02,16,96,0.8854166666666666,4.0,3.038747716206148,3.6108967575768545,True,3.559716235521088,140.2498945941299,166.65677342662406,164.29459548558867
JBHI16,BPRCA,0.8,S03,16,96,0.4895833333333333,4.0,1.0061710326713098,2.727903613294334,True,2.4302192633426616,46.43866304636814,125.90324369050772,112.16396600043053
JBHI16,BPRCA,0.8,S04,16,96,0.625,4.0,1.5804820237218404,2.9759456072537844,True,2.6356951326627005,72.94532417177724,137.35133571940543,121.6474676613554
