dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI35,EBPRCA,1.6,S03,35,210,0.7,5.129283016944966,2.7217532653391716,4.238735169045667,True,4.032659829874333,77.76437900969061,121.1067191155905,115.21885228212378
JBHI35,EBPRCA,1.6,S04,35,210,0.8761904761904762,5.129283016944966,3.9591936836295574,4.772509752311473,True,4.664869509343341,113.11981953227306,136.3574214946135,133.2819859812383
JBHI35,EBPRCA,1.6,S05,35,210,0.2619047619047619,5.129283016944966,0.5446438167434176,3.1935292861437636,True,2.857209604876342,15.561251906954785,91.24369388982181,81.63456013932405
JBHI35,EBPRCA,1.6,S06,35,210,0.6761904761904762,5.129283016944966,2.5734379324677246,4.141146259344649,True,3.925846585328049,73.52679807050642,118.31846455270424,112.1670452950871
JBHI35,EBPRCA,1.8,S01,35,210,0.8047619047619048,5.129283016944966,3.423715025134875,4.547712074050097,True,4.378273875283736,89.31430500351848,118.63596714913298,114.21584022479313
JBHI35,EBPRCA,1.8,S03,35,210,0.7476190476190476,5.129283016944966,3.0302742187148777,4.430057431124699,True,4.279654187281998,79.05063179256203,115.56671559455738,111.6431527117043
JBHI35,EBPRCA,1.8,S04,35,210,0.8904761904761904,5.129283016944966,4.0736067547052315,4.802228784325721,True,4.69022518482815,106.26800229665822,125.27553350414927,122.35370047377783
JBHI35,EBPRCA,1.8,S05,35,210,0.26666666666666666,5.129283016944966,0.5618361914202161,3.218161835863133,True,2.844175139271482,14.656596297918682,83.95204789208174,74.1958731983865
JBHI35,EBPRCA,1.8,S06,35,210,0.680952380952381,5.129283016944966,2.6027973400226903,4.157939727910064,True,3.918238041723754,67.89906104407018,108.46799290200167,102.21490543627185
JBHI35,EBPRCA,2.0,S01,35,210,0.780952380952381,5.129283016944966,3.256461728033475,4.459837362456609,True,4.285120024954437,78.1550814728034,107.03609669895862,102.84288059890648
JBHI35,EBPRCA,2.0,S03,35,210,0.7428571428571429,5.129283016944966,2.998674060382747,4.46635026359758,True,4.2338177448751395,71.96817744918593,107.19240632634191,101.61162587700335
JBHI35,EBPRCA,2.0,S04,35,210,0.8952380952380953,5.129283016944966,4.112399486030791,4.800198130518856,True,4.699583428520219,98.69758766473898,115.20475513245255,112.79000228448525
JBHI35,EBPRCA,2.0,S05,35,210,0.29523809523809524,5.129283016944966,0.6684411604789422,3.344786122009414,True,2.9675459594689366,16.042587851494613,80.27486692822595,71.22110302725449
JBHI35,EBPRCA,2.0,S06,35,210,0.6857142857142857,5.129283016944966,2.632307330530408,4.186241294343719,True,3.92935012553112,63.17537593272979,100.46979106424925,94.30440301274689
JBHI35,EEG_TDCA,0.2,S01,35,210,0.46190476190476193,5.129283016944966,1.395934963011126,3.6441297200782548,True,3.3123246281462864,119.65156825809652,312.35397600670757,283.913539555396
JBHI35,EEG_TDCA,0.2,S03,35,210,0.2904761904761905,5.129283016944966,0.6502714221069281,3.34143351443247,True,2.9507683114969474,55.73755046630813,286.4085869513546,252.9229981283098
JBHI35,EEG_TDCA,0.2,S04,35,210,0.6190476190476191,5.129283016944966,2.232490051586753,4.04421383509577,True,3.7456147090487777,191.3562901360074,346.64690015106606,321.0526893470381
JBHI35,EEG_TDCA,0.2,S05,35,210,0.04285714285714286,5.129283016944966,0.004612184272306585,2.700676848444947,True,2.4955613282619633,0.39533008048342166,231.4865870095669,213.9052567081683
