dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI16,EBPRCA,0.4,aggregate,16,1248,0.6939102564102564,4.0,1.915532804167035,2.367934154905647,True,2.2243562026252564,127.702186944469,157.8622769937098,148.29041350835044
JBHI16,EBPRCA,0.6,aggregate,16,1248,0.7171474358974359,4.0,2.0356174038065165,2.505448389880907,True,2.3563622476814574,111.03367657126452,136.66082126623127,128.52884987353403
JBHI16,EBPRCA,0.8,aggregate,16,1248,0.7403846153846154,4.0,2.159545667536707,2.5943542111627464,True,2.466514528039801,99.67133850169417,119.7394251305883,113.83913206337543
JBHI16,EBPRCA,1.0,aggregate,16,1248,0.7604166666666666,4.0,2.2696274377013084,2.7203294627224706,True,2.5865111584043596,90.78509750805233,108.81317850889883,103.46044633617439
JBHI16,EBPRCA,1.2,aggregate,16,1248,0.7540064102564102,4.0,2.2340638176396608,2.646940749790689,True,2.531949917797613,78.84931121081156,93.42143822790668,89.36293827520988
JBHI16,EBPRCA,1.4,aggregate,16,1248,0.7612179487179487,4.0,2.274095649458088,2.7057577489003486,True,2.595580207049877,71.81354682499226,85.44498154422153,81.96569074894349
JBHI16,EBPRCA,1.6,aggregate,16,1248,0.7748397435897436,4.0,2.3508448480209188,2.756936793162671,True,2.6459985741492904,67.16699565774053,78.76962266179059,75.59995926140829
JBHI16,EBPRCA,1.8,aggregate,16,1248,0.7844551282051282,4.0,2.4059410414510993,2.8086992557733694,True,2.7088788562957937,62.76367934220259,73.27041536800095,70.6664049468468
JBHI16,EBPRCA,2.0,aggregate,16,1248,0.7940705128205128,4.0,2.4618263084079812,2.8374360626533237,True,2.7588105450876017,59.08383140179155,68.09846550367976,66.21145308210244
JBHI16,EFUSIONCA,0.2,aggregate,16,1248,0.5865384615384616,4.0,1.4063686129392923,1.7955169486768565,True,1.67391960847501,120.5458811090822,153.90145274373057,143.4788235835723
JBHI16,EFUSIONCA,0.4,aggregate,16,1248,0.7139423076923077,4.0,2.018829781460011,2.4324846145858214,True,2.3006323235071067,134.5886520973341,162.1656409723881,153.37548823380712
JBHI16,EFUSIONCA,0.6,aggregate,16,1248,0.7612179487179487,4.0,2.274095649458088,2.689688313993428,True,2.5800108140024913,124.04158087953206,146.71027167236878,140.72786258195407
JBHI16,EFUSIONCA,0.8,aggregate,16,1248,0.7844551282051282,4.0,2.4059410414510993,2.8400926015483132,True,2.7110148560918237,111.04343268235843,131.08119699453752,125.1237625888534
JBHI16,EFUSIONCA,1.0,aggregate,16,1248,0.7972756410256411,4.0,2.4806346445692915,2.9074013320685674,True,2.798548085052791,99.22538578277167,116.29605328274269,111.94192340211163
